File                DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
8646883dc89152ae   7.76   7.84            0.94         0.86     0.90             0.76             0.88          0.16          0.42  0.97   0.77
874589            13.22  13.05            0.81         0.84     0.82             0.76             0.71          0.60          0.48  1.13   0.68
879575             9.38  15.79            0.85         0.85     0.85             0.66             0.67          0.47          0.50  0.77   0.61
89046d28186c2316   5.00   5.09            0.93         0.91     0.92             0.85             0.87          0.23          0.29  1.12   0.81
8f3d99482aa44b5e   9.95  39.98            0.92         0.83     0.87             0.71             0.84          0.22          0.50  0.93   0.73
935fce76c73c96fa   7.48  40.39            0.91         0.88     0.90             0.72             0.77          0.23          0.36  0.77   0.73
94a79a8a18ae9019   8.12  38.84            0.93         0.86     0.89             0.75             0.86          0.20          0.40  0.93   0.76
95a5b8556ceb24f7  12.88  45.07            0.90         0.79     0.84             0.43             0.64          0.30          0.56  0.46   0.53
978a0ace704d95ff  11.98  15.55            0.89         0.80     0.84             0.52             0.67          0.35          0.55  0.55   0.55
99f9e156e81245c8  18.23  45.48            0.87         0.71     0.78             0.53             0.75          0.36          0.86  0.78   0.57
9a019092b1a0806b  23.06  51.84            0.86         0.70     0.77             0.45             0.64          0.40          0.88  0.59   0.49
9b1e406f3df1ad1a  37.01  66.92            0.58         0.70     0.63             0.53             0.39          1.09          0.84  0.82   0.46
9cb4d901fd2d960b  51.87  76.01            0.46         0.62     0.53             0.27             0.15          1.30          1.01  0.34   0.23
9cfaa03f15fa30e9  20.32  52.72            0.85         0.81     0.83             0.57             0.61          0.43          0.59  0.69   0.58
a19bf8d872eeb315   5.42  20.47            0.94         0.90     0.92             0.56             0.59          0.15          0.31  0.30   0.57
a2935ff68d7b6682  11.24  42.05            0.94         0.80     0.87             0.51             0.77          0.18          0.56  0.54   0.61
a31498db851a4912  39.59  53.15            0.55         0.84     0.66             0.68             0.36          1.07          0.46  0.79   0.52
a5ea2b0179bb3bdd   6.76   8.02            0.95         0.88     0.91             0.65             0.81          0.13          0.36  0.59   0.71
a83fad398eb5cf8c  10.56  11.92            0.90         0.81     0.86             0.67             0.81          0.27          0.54  0.83   0.68
a8e028e5d80f453b   8.65  39.35            0.92         0.87     0.90             0.73             0.82          0.22          0.42  0.86   0.73
b2b7bf7c2ba9cda0   9.05  42.68            0.91         0.85     0.88             0.60             0.71          0.25          0.49  0.61   0.63
b56fb5b70d2639e8   3.68   3.75            0.96         0.93     0.95             0.87             0.93          0.10          0.23  1.01   0.86
bb5588f9728d9610  18.68  48.98            0.86         0.71     0.78             0.43             0.63          0.41          0.86  0.56   0.48
bc4ea3bf5c70b3f2  48.52  61.37            0.48         0.72     0.58             0.41             0.18          1.16          0.77  0.47   0.33
*** OVERALL ***   12.03  19.03            0.85         0.82     0.83             0.82             0.85          0.44          0.55  8.15   0.94
